"Continent","Android","iOS","Unknown","Samsung"
India ,95.01,4.73,0,0
United States of America ,39.8,59.94,0,0
Thailand ,67.39,32.2,0,0
China ,76.26,23.35,0,0
Indonesia ,85.5,14.36,0,0
Turkey ,75.97,23.59,0,0
United Kingdom ,50.2,49.31,0,0
Philippines ,91.88,8.02,0,0
Iraq ,81.77,18.09,0,0
Germany ,58.07,41.11,0,0
Brazil ,82.33,17.44,0,0
Vietnam ,57.43,42.25,0,0
South Africa ,79.75,19.99,0,0
Spain ,71.63,27.99,0,0
France ,65.83,33.61,0,0
Canada ,37.82,61.84,0,0
Saudi Arabia ,76.13,23.8,0,0
Pakistan ,92.91,6.73,0,0
Egypt ,89.18,10.51,0,0
Netherlands ,63.06,36.46,0,0
Iran ,88.59,11.26,0,0
Singapore ,68.07,31.66,0,0
Taiwan ,44.4,54.93,0,0
Nigeria ,84.22,13.21,2.31,0
Argentina ,87.07,12.79,0,0
Italy ,66.33,33.26,0,0
Japan ,38.97,60.88,0,0
Nepal ,77.58,22.38,0,0
Hong Kong ,52.52,47.01,0,0
Mexico ,67.39,32.46,0,0
South Korea ,71.67,27.83,0,0
Romania ,72.27,27.45,0,0
Australia ,39.63,59.68,0,0
United Arab Emirates ,81.19,18.66,0,0
Bulgaria ,76.34,23.51,0,0
Malaysia ,62.88,36.57,0,0
Bangladesh ,92.61,7.2,0,0
Chile ,90.25,9.65,0,0
Jordan ,74.7,25.23,0,0
Israel ,69.66,29.94,0,0
Poland ,68.78,30.96,0,0
Hungary ,74.86,24.96,0,0
Russian Federation ,68.75,30.6,0,0
Sweden ,43.95,55.61,0,0
Colombia ,64.49,35.37,0,0
Bermuda ,0,99.68,0,0
Greece ,73.03,26,0,0
Ireland ,52.11,47.62,0,0
Belgium ,50.44,48.94,0,0
Norway ,42.96,56.62,0,0
Palestinian Territory ,91.04,8.92,0,0
Algeria ,88.05,11.76,0,0
Morocco ,76.4,23.07,0,0
Czech Republic ,71.22,28.34,0,0
Portugal ,63.75,35.98,0,0
Serbia ,77.78,21.6,0,0
Switzerland ,45.39,54.11,0,0
Bahamas ,6.32,93.64,0,0
Kenya ,91.11,5.3,3.02,0
Austria ,50.06,49.21,0,0
Finland ,66.69,32.87,0,0
Ukraine ,66.11,33.59,0,0
Guatemala ,70.69,29.14,0,0
Tanzania ,89.99,6.36,3.24,0
Peru ,82.34,17.21,0,0
Denmark ,37.37,62.19,0,0
Qatar ,80.07,19.77,0,0
Ethiopia ,96.55,2.23,1.09,0
Sri Lanka ,81.27,18.54,0,0
Ghana ,74.63,24.45,0,0
Myanmar ,86.8,13.11,0,0
Libya ,85.07,14.73,0,0
Sudan ,97.06,2.34,0,0
Kuwait ,67.31,32.49,0,0
Slovakia (Slovak Republic) ,71.06,28.6,0,0
Oman ,78.83,20.91,0,0
 ,100,92.98,7.1,2.08
Lao Peoples Democratic Republic ,64.66,35.17,0,0
New Zealand ,50.22,48.94,0,0
Tunisia ,86.05,13.69,0,0
Croatia ,72.49,26.06,0,1.42
Syrian Arab Republic ,95.28,4.52,0,0
Azerbaijan ,77.19,22.03,0,0
Georgia ,65.47,31.16,0,3.32
Angola ,75.11,24.69,0,0
Ecuador ,75.14,24.71,0,0
Cyprus ,69.69,29.89,0,0
Zambia ,89.19,9.22,1.46,0
Uganda ,88.59,7.32,3.87,0
Albania ,43.13,56.5,0,0
Venezuela ,87.29,12.6,0,0
Afghanistan ,87.32,12.6,0,0
Bosnia and Herzegovina ,75.31,22.27,0,2.41
Lithuania ,64.77,34.81,0,0
Yemen ,96.13,3.46,0,0
Senegal ,79.04,20.76,0,0
Moldova ,78.87,20.87,0,0
Macedonia ,64.11,35.19,0,0
Cote dIvoire ,76.56,23.2,0,0
Cambodia ,48.91,50.95,0,0
Latvia ,65.41,34.09,0,0
Bahrain ,51.63,48.15,0,0
Congo (Democratic Republic of the),82.54,14.32,3.01,0
Uruguay ,64.81,35.09,0,0
Bolivia ,89.89,9.6,0,0
Mauritius ,83.05,16.39,0,0
Slovenia ,67.62,31.68,0,0
Cameroon ,82.93,15.52,1.47,0
Uzbekistan ,82.44,17.4,0,0
Belarus ,59.58,40.21,0,0
Kazakhstan ,54.76,44.81,0,0
Zimbabwe ,88.34,11.43,0,0
Costa Rica ,65.2,34.53,0,0
Lebanon ,68.21,31.5,0,0
El Salvador ,77.69,22.1,0,0
Dominican Republic ,49.56,50.31,0,0
Puerto Rico ,47.77,51.78,0,0
Mozambique ,86.84,11.88,0,0
Estonia ,57.9,41.63,0,0
Macao ,40.67,58.9,0,0
Seychelles ,71.02,28.88,0,0
Maldives ,61.7,38.23,0,0
Mauritania ,72.36,27.56,0,0
Malawi ,93.26,4.89,1.54,0
Paraguay ,81.09,18.7,0,0
Madagascar ,93.61,5.76,0,0
Cuba ,94.7,5.14,0,0
Honduras ,70.41,29.15,0,0
Montenegro ,68.49,30.32,0,1.18
Panama ,69.33,30.48,0,0
Burkina Faso ,93.51,6.18,0,0
Mali ,90.94,8.88,0,0
Trinidad and Tobago ,60.96,38.77,0,0
Haiti ,86.44,13.48,0,0
Luxembourg ,53.55,45.15,0,1.27
Somalia ,88.17,11.67,0,0
Jamaica ,60.72,39.04,0,0
Armenia ,59.96,39.72,0,0
Nicaragua ,81.5,18.37,0,0
Malta ,53.92,45.58,0,0
Gabon ,87.07,12.45,0,0
Togo ,88.39,10.78,0,0
Benin ,79.24,15.87,4.72,0
Chad ,94.68,5.01,0,0
Reunion ,68.76,30.93,0,0
Niger ,96.21,3.16,0,0
Botswana ,87.48,12.21,0,0
Namibia ,80.16,19.47,0,0
Kyrgyz Republic ,70.83,29.01,0,0
Congo (Republic of the),85.5,14.07,0,0
American Samoa ,2.21,97.75,0,0
Guinea ,84.43,15.25,0,0
French Polynesia ,85.11,14.79,0,0
Papua New Guinea ,93.18,6.06,0,0
Mongolia ,59.89,39.85,0,0
Brunei Darussalam ,66.66,32.95,0,0
Sierra Leone ,86.7,11.3,1.75,0
Belize ,27.32,72.44,0,0
Iceland ,43.84,55.66,0,0
Rwanda ,77.47,18.96,3.1,0
Aruba ,46.93,52.93,0,0
Equatorial Guinea ,95.61,4.23,0,0
Liberia ,85.08,11.01,3.82,0
Swaziland ,88.14,9.53,0,1.9
Tajikistan ,84.11,15.76,0,0
Fiji ,83.98,15.67,0,0
Guadeloupe ,69.6,29.97,0,0
Lesotho ,92.19,7.59,0,0
Barbados ,65.78,33.77,0,0
Martinique ,69.96,29.48,0,0
Andorra ,28.14,71.73,0,0
Suriname ,75.57,24.22,0,0
New Caledonia ,81.78,18.01,0,0
Jersey ,40.25,59.33,0,0
Guyana ,77.12,22.65,0,0
Isle of Man ,42.4,56.77,0,0
Bhutan ,84.9,14.94,0,0
Guernsey ,44.26,55.42,0,0
Gambia ,78.91,20.68,0,0
Djibouti ,91.14,8.6,0,0
Timor-Leste ,76.53,23.35,0,0
Faroe Islands ,15.89,83.85,0,0
Burundi ,87.83,10.44,1.46,0
Antigua and Barbuda ,53.93,45.22,0,0
Guinea-Bissau ,91.28,8.6,0,0
Saint Lucia ,63.79,35.9,0,0
Cayman Islands ,40.05,59.71,0,0
Guam ,50.38,49.05,0,0
French Guiana ,67.51,31.91,0,0
Cape Verde ,64.74,35.01,0,0
Solomon Islands ,89.29,10.51,0,0
Cook Islands ,36.16,44.18,0,19.67
Saint Kitts and Nevis ,64.45,35.44,0,0
Monaco ,26.88,72.87,0,0
Grenada ,59.86,39.89,0,0
Gibraltar ,41.43,58.36,0,0
Mayotte ,82.34,17.28,0,0
Comoros ,92.39,7.37,0,0
San Marino ,19.91,13.81,0,66.28
Vanuatu ,86.19,13.68,0,0
British Virgin Islands ,39.18,60.55,0,0
Saint Vincent and the Grenadines ,68.02,31.32,0,0
Turks and Caicos Islands ,35.1,64.69,0,0
Liechtenstein ,41.79,58.04,0,0
Central African Republic ,76.45,4.77,18.42,0
Dominica ,73.63,25.97,0,0
Samoa ,82.75,16.7,0,0
Saint Martin ,34.14,65.65,0,0
Greenland ,48.51,51.1,0,0
Northern Mariana Islands ,59.53,40.39,0,0
Sao Tome and Principe ,89.54,10.43,0,0
Anguilla ,32.7,67.1,0,0
Kiribati ,92.42,6.28,0,1.31
Tonga ,72.74,27,0,0
Palau ,67.67,32.3,0,0
Micronesia ,79.35,20.38,0,0
Saint Pierre and Miquelon ,33.52,66.33,0,0
Turkmenistan ,82.39,17.02,0,0
Saint Barthelemy ,10.9,89.1,0,0
Marshall Islands ,58.74,41.23,0,0
Nauru ,81.4,18.59,0,0
Falkland Islands (Malvinas) ,68.63,31.12,0,0
Wallis and Futuna ,49.54,50.42,0,0
Eritrea ,89.43,10.57,0,0
Tuvalu ,78.57,21.43,0,0
Tokelau ,1.73,98.27,0,0
Montserrat ,59.34,40.66,0,0
Holy See (Vatican City State) ,72.77,27.23,0,0
Norfolk Island ,34.27,65.73,0,0
Niue ,65.84,34.16,0,0
Saint Helena ,70.33,29.67,0,0
Svalbard & Jan Mayen Islands ,16.95,83.05,0,0
Pitcairn Islands ,72.09,27.91,0,0
North Korea ,49.15,50.85,0,0
South Georgia and the South Sandwich Islands ,16.67,83.33,0,0
Christmas Island ,100,0,0,0
